Date	Open	High	Low	Close	Volume
28-Jan-13	150.29	150.33	149.51	150.07	113357611
25-Jan-13	149.88	150.25	149.37	150.25	147216088
24-Jan-13	149.15	150.14	149.01	149.41	146426315
23-Jan-13	149.13	149.5	148.86	149.37	104596066
22-Jan-13	148.33	149.13	147.98	149.13	111797291
18-Jan-13	147.97	148.49	147.43	148.33	169905915
17-Jan-13	147.7	148.42	147.14	148	133833420
16-Jan-13	146.77	147.28	146.61	147.05	104849487
15-Jan-13	146.29	147.21	146.2	147.07	93172559
14-Jan-13	146.89	147.07	146.43	146.97	89567104
11-Jan-13	147.04	147.15	146.61	147.07	113917286
10-Jan-13	146.73	147.09	145.97	147.08	130735372
9-Jan-13	145.87	146.32	145.64	145.92	90745581
8-Jan-13	145.71	145.91	144.98	145.55	121265078
7-Jan-13	145.85	146.44	145.43	145.97	110002444
4-Jan-13	145.97	146.61	145.67	146.37	116817675
3-Jan-13	145.99	146.37	145.34	145.73	144761781
2-Jan-13	145.11	146.15	144.73	146.06	192058911
31-Dec-12	139.66	142.56	139.54	142.41	243952162
28-Dec-12	140.64	141.42	139.87	140.03	148806608
27-Dec-12	141.79	142.08	139.92	141.56	167920546
26-Dec-12	142.64	142.71	141.35	141.75	106947663
24-Dec-12	142.48	142.56	142.19	142.35	53874548
21-Dec-12	142.17	144.09	141.94	142.79	245883785
20-Dec-12	144.38	145.14	143.98	145.12	168486930
19-Dec-12	145.53	145.58	144.24	144.29	150895322
18-Dec-12	144	145.5	143.79	145.37	177762727
17-Dec-12	142.47	143.85	142.43	143.77	143735755
14-Dec-12	142.32	142.58	141.88	142.11	137701692
13-Dec-12	143.42	143.83	142.28	142.63	135714940
12-Dec-12	144	144.55	143.31	143.51	145880026
11-Dec-12	143.06	144.11	142.99	143.44	152570378
10-Dec-12	142.21	142.81	142.15	142.47	98840667
7-Dec-12	142.53	142.69	141.67	142.42	108726325
6-Dec-12	141.37	142.04	141.16	141.98	103220533
5-Dec-12	141.37	142.16	140.37	141.5	147300444
4-Dec-12	141.44	141.87	140.87	141.25	127622507
3-Dec-12	142.8	142.92	141.34	141.45	124656283
30-Nov-12	142.14	142.42	141.66	142.16	136568288
29-Nov-12	141.99	142.51	141.37	142.12	151085880
28-Nov-12	139.76	141.54	139	141.46	177086443
27-Nov-12	140.91	141.39	140.24	140.33	128646177
26-Nov-12	140.65	141.36	140.19	141.05	100124325
23-Nov-12	140.13	141.4	140.04	141.35	65409145
21-Nov-12	139.31	139.57	139.03	139.45	81710736
20-Nov-12	138.89	139.41	138.08	139.28	27546707
19-Nov-12	137.92	139.15	137.82	139.15	30135006
16-Nov-12	135.92	136.64	134.7	136.35	53687242
15-Nov-12	135.95	136.49	135.18	135.7	41608809
14-Nov-12	138.21	138.43	135.62	135.98	41220444
13-Nov-12	137.52	139.25	137.37	137.8	27218569
12-Nov-12	138.55	138.8	137.97	138.24	20138213
9-Nov-12	137.61	139.44	137.56	138.16	48125825
8-Nov-12	139.72	140.41	137.93	137.95	40343790
7-Nov-12	141.65	141.67	139.07	139.78	58547682
6-Nov-12	142.27	143.52	142.14	142.93	23153685
5-Nov-12	141.37	142.17	140.93	141.9	23758808
2-Nov-12	143.72	143.72	141.42	141.56	30831270
1-Nov-12	141.66	143	141.52	142.91	23044145
31-Oct-12	141.84	142.03	140.68	141.18	30514720
26-Oct-12	141.32	141.84	140.4	141.35	30288899
25-Oct-12	142.07	142.27	140.58	141.43	31793925
24-Oct-12	141.94	142.1	140.8	141.05	26051415
23-Oct-12	141.88	142.05	140.83	141.35	38390439
22-Oct-12	143.2	143.67	142.28	143.41	30707606
19-Oct-12	145.5	145.53	143.06	143.3	40060523
18-Oct-12	145.85	146.52	145.33	145.86	30400818
17-Oct-12	145.63	146.32	145.42	146.16	30726022
16-Oct-12	144.76	145.64	144.66	145.58	21788627
15-Oct-12	143.23	144.22	142.78	144.01	28252267
12-Oct-12	143.44	143.94	142.58	142.84	26653928
11-Oct-12	144.28	144.49	143.36	143.36	24517734
10-Oct-12	144.2	144.32	143.09	143.28	25112154
9-Oct-12	145.52	145.65	144.15	144.25	25467324
8-Oct-12	145.58	145.88	145.32	145.66	15184531
5-Oct-12	146.92	147.15	145.7	146.13	31081729
4-Oct-12	145.63	146.34	145.45	146.27	25849467
3-Oct-12	144.88	145.43	144.13	145.07	27087142
2-Oct-12	144.9	145.15	143.83	144.5	21427702
1-Oct-12	144.5	145.69	144.02	144.24	26827626
28-Sep-12	144.01	144.55	143.46	143.93	33208164
27-Sep-12	143.88	144.96	143.51	144.72	23886298
26-Sep-12	144.11	144.11	142.96	143.29	24683682
25-Sep-12	145.96	146.24	144.06	144.19	28615848
24-Sep-12	145.16	145.97	145.05	145.59	19559889
21-Sep-12	146.64	146.67	145.81	145.89	22032830
20-Sep-12	146	146.79	145.63	146.75	28342817
19-Sep-12	146.76	147.17	146.42	146.74	19513664
18-Sep-12	146.53	146.81	146.25	146.62	16377063
17-Sep-12	146.95	147.19	146.37	146.74	24098639
14-Sep-12	146.89	148.11	146.76	147.24	37078709
13-Sep-12	144.33	147.04	144.15	146.7	39991495
12-Sep-12	144.38	144.55	143.9	144.39	17572275
11-Sep-12	143.63	144.37	143.56	143.89	17302539
10-Sep-12	144.21	144.44	143.46	143.51	19563356
7-Sep-12	144.02	144.39	143.89	144.39	25282560
6-Sep-12	141.79	143.78	141.77	143.78	34287061
5-Sep-12	141.1	141.47	140.63	140.94	21413618
4-Sep-12	141.09	141.46	140.14	140.87	21273003
31-Aug-12	141.32	141.82	140.36	141.24	32923699
30-Aug-12	140.9	140.94	140.19	140.49	17392005
29-Aug-12	141.48	141.89	141.12	141.51	12048491
28-Aug-12	141.17	141.84	140.97	141.4	12807197
27-Aug-12	141.9	142.07	141.34	141.54	13317716
24-Aug-12	140.3	141.8	140.22	141.52	21488373
23-Aug-12	141.45	141.48	140.44	140.68	24270285
22-Aug-12	141.38	142.05	141.08	141.82	19786628
21-Aug-12	142.52	143.09	141.46	141.76	17889256
20-Aug-12	142.01	142.22	141.6	142.22	13712093
17-Aug-12	142.25	142.3	141.86	142.22	19903962
16-Aug-12	141.09	142.16	140.8	142.01	21476293
15-Aug-12	140.64	141.19	140.55	140.95	14261624
14-Aug-12	141.28	141.38	140.37	140.79	19130889
13-Aug-12	140.6	140.84	140.04	140.77	18456912
10-Aug-12	140.07	140.89	139.81	140.84	18724574
9-Aug-12	140.3	140.88	140.15	140.63	16488684
8-Aug-12	139.82	140.64	139.81	140.49	16627597
7-Aug-12	140.2	140.91	140.15	140.32	19032269
6-Aug-12	139.7	140.16	139.56	139.62	20989925
3-Aug-12	138.6	139.63	138.5	139.39	33466049
2-Aug-12	136.54	137.57	135.59	136.64	40290603
1-Aug-12	138.72	138.72	137.4	137.59	28345389
31-Jul-12	138.51	138.87	137.71	137.71	22563632
30-Jul-12	138.57	139.33	138.27	138.68	20502889
27-Jul-12	136.91	139.07	136.66	138.8	46734581
26-Jul-12	135.91	136.46	135.26	136.17	33011129
25-Jul-12	134.26	134.56	133.26	133.95	27767098
24-Jul-12	135.2	135.24	133.04	134.03	37032442
23-Jul-12	134.45	135.46	133.85	135.09	30475138
20-Jul-12	136.98	137.16	136.32	136.47	27973940
19-Jul-12	137.63	138.18	137.21	137.74	25829058
18-Jul-12	136.02	137.64	135.96	137.41	24065894
17-Jul-12	136.01	136.63	134.56	136.36	28547712
16-Jul-12	135.42	135.83	134.9	135.39	18594978
13-Jul-12	133.88	135.89	133.84	135.75	27430911
12-Jul-12	133.39	134.1	132.6	133.51	29715598
11-Jul-12	134.23	134.6	133.38	134.16	27385094
10-Jul-12	136.08	136.23	133.68	134.14	30450240
9-Jul-12	135.41	135.57	134.7	135.32	19705864
6-Jul-12	135.56	135.77	134.86	135.59	30405365
5-Jul-12	136.93	137.4	136.29	136.84	23446764
3-Jul-12	136.51	137.5	136.34	137.47	14837685
2-Jul-12	136.53	136.65	135.53	136.46	27290924
29-Jun-12	135.24	136.27	134.85	136.27	42575829
28-Jun-12	132.32	132.99	131.29	132.79	33955169
27-Jun-12	132.4	133.43	132.32	133.17	21385160
26-Jun-12	131.69	132.38	130.94	132	27578814
25-Jun-12	132.1	132.1	130.85	131.26	31219502
22-Jun-12	133.11	133.71	132.63	133.42	28425586
21-Jun-12	135.67	135.78	132.33	132.44	42681082
20-Jun-12	135.76	136.09	134.27	135.44	36916171
19-Jun-12	135.13	136.24	134.93	135.69	25030313
18-Jun-12	133.59	134.73	133.28	134.43	29353246
